Respondent ID,Collector ID,Start Date,End Date,E-Time-gor,IP Address,group,tmt.group,prod.grp,age,gender,edu,r.prod.rating,r.prod.qual,r.prodrat.trust,r.site.trust,i.prod.desc,i.prod.qual,i.prodrat.trust,i.site.trust,b.prod.desc,b.prod.qual,b.prodrat.trust,b.site.trust,buy.factor,rat.meth,completed, TimeSec ,rat.meth.acc
6544015941,166348841,11/25/2017 18:24,11/25/2017 18:25,12:01:16 AM,98.166.143.136,Raz.Algo,algo,raz,2,1,3,4,3,7,4,2,6,4,7,3,2,5,4,2,6,1,76,0
6543987032,166348841,11/25/2017 17:18,11/25/2017 17:20,12:01:23 AM,173.27.96.99,Raz.Algo,algo,raz,2,1,3,4,7,7,7,2,7,7,7,3,7,7,7,3,4,1,83,1
6544086180,166348841,11/25/2017 21:03,11/25/2017 21:04,12:01:38 AM,73.20.0.131,Raz.Algo,algo,raz,2,2,5,4,8,6,6,2,6,6,7,3,5,6,6,3,5,1,98,0
6543987102,166348841,11/25/2017 17:19,11/25/2017 17:20,12:01:40 AM,96.238.187.104,Raz.Algo,algo,raz,3,2,7,4,7,9,8,2,7,9,8,3,6,7,6,3,4,1,100,1
6543702874,166348841,11/25/2017 9:21,11/25/2017 9:23,12:01:43 AM,173.239.232.118,Raz.Algo,algo,raz,2,1,5,4,6,7,7,2,8,7,7,3,7,7,8,3,3,1,103,0
6544009063,166348841,11/25/2017 18:08,11/25/2017 18:10,12:01:49 AM,73.7.100.97,Raz.Algo,algo,raz,3,1,3,4,8,8,8,2,8,8,8,3,7,8,8,4,4,1,109,1
6544095793,166348841,11/25/2017 21:22,11/25/2017 21:24,12:01:53 AM,65.35.254.64,Raz.Algo,algo,raz,2,1,3,3,7,8,7,3,6,7,9,2,4,7,8,2,4,1,113,1
6544020781,166348841,11/25/2017 18:35,11/25/2017 18:37,12:01:59 AM,73.67.78.167,Raz.Algo,algo,raz,1,2,4,4,8,8,8,2,8,8,8,3,8,8,8,3,4,1,119,1
6544087081,166348841,11/25/2017 21:05,11/25/2017 21:07,12:01:59 AM,71.38.130.204,Raz.Algo,algo,raz,2,2,3,4,8,8,8,2,6,6,6,3,8,8,8,3,3,1,119,0
6544020012,166348841,11/25/2017 18:33,11/25/2017 18:35,12:02:02 AM,47.33.158.158,Raz.Algo,algo,raz,3,1,7,4,7,5,5,2,3,4,4,3,5,5,5,2,4,1,122,1
